code,sector
0396,CST
5281,CST
5293,CST
0226,CST
7078,CST
5190,CST
5932,CST
0372,CST
8591,CST
0347,CST
7528,CST
5253,CST
8877,CST
7047,CST
9261,CST
5398,CST
5226,CST
0198,CST
5345,CST
3204,CST
0237,CST
0359,CST
5169,CST
3336,CST
0451,CST
0192,CST
4723,CST
7161,CST
5171,CST
9628,CST
0351,CST
5129,CST
8192,CST
7595,CST
9571,CST
0245,CST
5085,CST
5703,CST
0206,CST
0235,CST
7071,CST
5622,CST
8311,CST
5320,CST
5070,CST
9598,CST
6807,CST
0360,CST
0109,CST
5205,CST
0045,CST
5263,CST
0345,CST
9717,CST
0241,CST
0221,CST
5297,CST
5054,CST
5042,CST
7145,CST
5006,CST
7070,CST
0273,CST
3565,CST
9679,CST
0162,CST
7028,CST
2283,CST
0012,CON
5326,CON
0365,CON
5238,CON
7167,CON
6599,CON
0309,CON
7315,CON
2658,CON
6351,CON
6432,CON
0380,CON
1481,CON
7722,CON
7129,CON
7048,CON
0098,CON
8885,CON
7120,CON
4162,CON
5248,CON
7668,CON
0179,CON
5196,CON
0385,CON
9288,CON
4219,CON
7174,CON
0371,CON
7128,CON
5099,CON
0335,CON
2836,CON
7035,CON
7209,CON
2828,CON
5336,CON
5104,CON
5188,CON
9423,CON
5166,CON
0281,CON
5908,CON
3026,CON
0205,CON
1619,CON
5318,CON
0239,CON
5337,CON
5081,CON
9091,CON
5351,CON
7149,CON
4847,CON
9946,CON
7208,CON
7094,CON
1287,CON
3689,CON
0378,CON
2755,CON
5306,CON
6939,CON
8605,CON
0116,CON
0157,CON
0304,CON
9172,CON
7184,CON
5102,CON
5592,CON
0398,CON
4715,CON
3182,CON
0387,CON
0074,CON
7943,CON
0136,CON
5008,CON
5187,CON
3255,CON
7202,CON
5335,CON
3301,CON
5346,CON
5160,CON
0460,CON
5024,CON
8478,CON
9113,CON
7240,CON
5295,CON
5107,CON
7223,CON
7152,CON
8672,CON
0170,CON
5247,CON
7216,CON
6203,CON
7062,CON
0210,CON
0338,CON
0180,CON
7179,CON
1643,CON
9385,CON
8079,CON
6633,CON
7089,CON
8303,CON
7234,CON
7085,CON
5328,CON
7082,CON
0095,CON
7243,CON
7087,CON
3859,CON
3514,CON
5983,CON
0280,CON
2097,CON
0450,CON
3662,CON
7935,CON
0288,CON
0229,CON
5296,CON
5202,CON
5316,CON
3891,CON
3905,CON
5275,CON
4707,CON
7154,CON
7060,CON
7139,CON
7215,CON
5066,CON
0327,CON
5533,CON
0049,CON
0312,CON
7107,CON
0357,CON
3018,CON
5079,CON
0252,CON
4006,CON
0153,CON
5260,CON
7052,CON
3719,CON
5022,CON
9407,CON
5657,CON
0022,CON
5231,CON
6068,CON
9997,CON
0356,CON
7080,CON
5681,CON
0171,CON
4081,CON
5080,CON
7088,CON
4065,CON
7168,CON
0186,CON
0260,CON
7134,CON
7237,CON
7084,CON
0037,CON
5278,CON
7006,CON
9776,CON
0342,CON
0183,CON
0300,CON
0316,CON
0158,CON
0212,CON
9792,CON
5250,CON
0388,CON
5305,CON
7180,CON
5157,CON
